slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle.,branchiopod_cuticle.,clamShrimp_cuticle.,plant.algal_cuticle.,other.,Morpho1,Morpho3,Preservation,strat_height,Description.notes,Imaged,sample_name,Mass..g.,Mesh,HF_date,Water_.date,Collection_date,acid_time,rinse_time,Inspection.complete.,Notes_pre.maceration,Notes_duringmaceration,Notes_post.maceration,Notes_microscopeobservations,rock_name,base..from.lower.SS..cm.,top.from.lower.SS..cm.,date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes,Va1,Va2,PhL,NoH,No,OrR,TrP,OrS,ApT,Va,Tr,BrF,NoC,TrA,ApW,BrA,U,ApB,Ap,Va3,Sp,OrF,Ph,TrS,SpT,Ap?,Br,Va4,Va6,Va?,Or?,BrM,Or,Tr?,TrC,SpS,PhI,PhS
CSD-24,CSD-24,NA,NA,specimen,x,x,x,,,Va,Va,NA,67,large (broken) clam shrimp,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-25,CSD-25a,NA,NA,specimen,,,,,x,Or,OrR,NA,67,clusters of large cells/circles,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-25,CSD-25b,NA,NA,specimen,,,,,x,Or,OrR,NA,67,clusters of large cells/circles,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-25,CSD-25c,NA,NA,specimen,,,,,x,Or,OrR,NA,67,clusters of large cells/circles,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-26,CSD-26a,NA,NA,specimen,,,,,x,Or,Or,NA,67,disc,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-26,CSD-26b,NA,NA,specimen,,,,,x,Or,OrF1,NA,67,weird disc and bullseye,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-360,CSD-360a,9/11/23,Jamie Hernandez,specimen,,,,,x,Or,OrR1,1,67,orb; coll. Unknown,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-360,CSD-360b,9/11/23,Jamie Hernandez,specimen,x,x,,,x,Ap,ApB,1,67,serrated edge; coll. Unknown,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-360,CSD-360c,9/11/23,Jamie Hernandez,specimen,x,,,,x,Tr,Tr,1,67,square cuticle scrap; coll. Unknown,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-361,CSD-361,9/11/23,Jamie Hernandez,specimen,,,,,x,No,NoC4,3,67,algae with a circular node,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-362,CSD-362a,9/11/23,Jamie Hernandez,specimen,,,,,x,Or,OrF1,1,67,three incomplete frisbeekites,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-362,CSD-362b,9/11/23,Jamie Hernandez,specimen,,,,,x,Or,OrF1,2,67,three incomplete frisbeekites,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-362,CSD-362c,9/11/23,Jamie Hernandez,specimen,,,,,x,Or,OrF1,1,67,three incomplete frisbeekites,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-55,CSD-55,2/15/22,James Pinto,specimen,x,x,,,,Ap,ApT1,2,67,"maxillary paddle from anostracan, folded and broken, shows a socket?",x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-56,CSD-56,2/15/22,James Pinto,specimen,,,,,x,Or,OrF1,1,67,partial disc,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-61,CSD-61,NA,James Pinto,specimen,x,,,,x,Tr,Tr?,NA,67,"large piece of possible concho cuticle, with little clusters/depressions in it",x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-62,CSD-62,NA,NA,specimen,,,,x,,No,NoH1,1,67,"hexagon algal node, pretty degraded",NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-63,CSD-63,NA,NA,specimen,,,,,x,Or,OrR3,NA,67,"tri-cluster, possible cuticle?",NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-57,CSD-57,2/15/22,James Pinto,specimen,,,,,x,Or,OrF1,3,67,"frisbeekite, spooled ""string"" broke off from disc",x,CSD-21-D,6.05,150µm,8/17/21,8/20/21,8/26/21,3,6,0,69-65 cm; lots of liverworts on both sides,0,0,0,6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-202,CSD-202,3/3/23,Tanner Frank,specimen,x,,,,,Ap,ApT13,2,77,eurypterid appendage tip collected 2/24/23 Guillermo,x,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-203,CSD-203,3/5/23,Liuliu Gould,specimen,x,,,,x,Or,OrR,NA,77,small cuticle scrap; collected 2/24/2023 by Guillermo,NA,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-204,CSD-204,3/6/23,Liuliu Gould,specimen,x,x,x,,,Va,Va2,1,77,small clam shrimp scrap; collected 3/3/2023 by Guillermo,NA,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-205,CSD-205,3/7/23,Liuliu Gould,specimen,x,x,,,,Ap,ApB,NA,77,pretty complete branchiopod lobe; collected 3/3/2023 by Guillermo,x,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-206,CSD-206,3/8/23,Liuliu Gould,specimen,x,,,,,Ap,Ap,NA,77,rectangular cuticle; collected 3/3/2023 by Guillermo,NA,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-207,CSD-207,3/9/23,Liuliu Gould,specimen,x,,,,,Ap,ApW4,2,77,"segmented cuticle, broken in prep; collected 2/24/2023 by Guillermo",x,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-209,CSD-209a,3/11/23,Liuliu Gould,specimen,x,,,,,Ap,ApW1,1,77,cuticle with macrosetae; collected 2/24/2023 by Guillermo,x,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-209,CSD-209b,3/11/23,Liuliu Gould,specimen,x,,,,,Ap,Ap,NA,77,cuticle with macrosetae?; collected 2/24/2023 by Guillermo,NA,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD-210,CSD-210,3/12/23,Liuliu Gould,specimen,x,x,x,,,Va,Va1,3,77,"mostly complete clam shrimp valve, squished in prep; collected 2/24/2023 by Guillermo",x,CSD-21-E,5.43,105µm,11/5/21,11/10/21,11/17/21,5,7,0,"~76-78 cm, conchos, **light color and liverworts",a little clumpy,nice flakes,0,6.28.2021-CSD-17,76,78,6/28/21,Tanner Frank,small block of layers,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
