slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle.,branchiopod_cuticle.,clamShrimp_cuticle.,plant.algal_cuticle.,other.,Morpho1,Morpho2,Morpho3,Preservation,strat_height,Description.notes,no_specimens,Imaged,sample_name,Mass..g.,Mesh,HF_date,Water_.date,Collection_date,acid_time,rinse_time,Inspection.complete.,Notes_pre.maceration,Notes_duringmaceration,Notes_post.maceration,Notes_microscopeobservations,rock_name,base..from.lower.SS..cm.,top.from.lower.SS..cm.,date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
ST-13,ST-13d,7/18/22,Tanner Frank,specimen,x,x,,,,Tr,TrP,TrP1,3,NA,~4-5 tergopleurae with compressed shape,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13e,7/18/22,Tanner Frank,specimen,,,,x,,Ph,PhL,PhL_III,1,NA,liverwort with strange darkened cell borders,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13f,7/18/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,1,NA,sac w dehiscence partially otherwise broken,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13g,7/18/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,1,NA,broken sac w indistinct contents,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13h,7/18/22,Tanner Frank,specimen,x,,,,,Ap,ApT,ApT5,2,NA,terminal claw,1,x,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-8,ST-8a,4/18/22,Layla Chapeta,specimen,x,,,,,Va,Va,Va,NA,NA,"maybe clam shrimp (no growth lines), the other very small",1,NA,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-8,ST-8b,4/18/22,Layla Chapeta,specimen,x,,,,,Tr,Tr,Tr,1,NA,very small piece of cuticle,1,NA,CLST_13,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-14,ST-14,7/18/22,Tanner Frank,specimen,,,,x,,No,NoH,NoH1,1,NA,"hexagon algal node, pretty degraded; collected 4/24/2021",1,NA,CLST_14,6.22,150µm,5/3/21,5/10/21,5/17/21,7,7,0,"thin chunks, separated, one side lighter and dirtier, some visible l.w.",0,lots of flakes,0,CLST_L14,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-3,ST-3,7/26/21,NA,specimen,,,,,x,Or,OrR,OrR,NA,NA,cluster; hoyer's,1,NA,CLST_2,2.25,150µm,4/6/21,4/12/21,4/16/21,6,4,x,similar to CLST_L1-1 but less shiny; ostracods; weird shiny thing? (photo'd),0,lots of flakes,"nice flakes, but shinier and less intact than CLST_1; spini frag; cluster",CLST_L2,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-2,ST-2,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,NA,cluster (broken),1,NA,CLST_2,2.25,150µm,4/6/21,4/12/21,4/16/21,6,4,x,similar to CLST_L1-1 but less shiny; ostracods; weird shiny thing? (photo'd),0,lots of flakes,"nice flakes, but shinier and less intact than CLST_1; spini frag; cluster",CLST_L2,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-4,ST-4,NA,NA,specimen,x,x,x,,,Va,Va,Va,NA,NA,clam shrimp,1,NA,CLST_2,2.25,150µm,4/6/21,4/12/21,4/16/21,6,4,x,similar to CLST_L1-1 but less shiny; ostracods; weird shiny thing? (photo'd),0,lots of flakes,"nice flakes, but shinier and less intact than CLST_1; spini frag; cluster",CLST_L2,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-30,ST-30a,4/24/23,Jamie Hernandez,specimen,,,,,x,Or,OrR,OrR1,NA,NA,cluster of 4+; liuliu 3/13/23,1,x,CLST_3,7.3,150µm,4/16/21,4/20/21,4/28/21,4,8,0,"LOTS of ostracods, some plant texture; thin; one side darker with more ostracods",0,"lots of v small particles, kind of ""goopy""","lots of material, mostly complete liverworts, collected *clusters, cuticle, tergopleurae?",CLST_L3,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-30,ST-30b,4/24/23,Jamie Hernandez,specimen,,,,,x,Or,OrR,OrR1,NA,NA,orb; liuliu 3/13/23,1,x,CLST_3,7.3,150µm,4/16/21,4/20/21,4/28/21,4,8,0,"LOTS of ostracods, some plant texture; thin; one side darker with more ostracods",0,"lots of v small particles, kind of ""goopy""","lots of material, mostly complete liverworts, collected *clusters, cuticle, tergopleurae?",CLST_L3,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-5,ST-5,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,NA,cluster,1,NA,CLST_3,7.3,150µm,4/16/21,4/20/21,4/28/21,4,8,0,"LOTS of ostracods, some plant texture; thin; one side darker with more ostracods",0,"lots of v small particles, kind of ""goopy""","lots of material, mostly complete liverworts, collected *clusters, cuticle, tergopleurae?",CLST_L3,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-6,ST-6,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,NA,cluster,1,NA,CLST_4,6.5,150µm,4/16/21,4/20/21,4/28/21,4,8,x,"similar to CLST_L3-1 in terms of one face having many more ostracods; liverworts and ostracods, including bivalved one",0,"fewer, larger flakes","decent liverworts, little clusters*, ""metallic"" texture",CLST_L4,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-16,ST-16,2/13/23,Liuliu Gould,specimen,x,x,,,,Ap,ApT,ApT3,2,NA,"caudal furca; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-16,ST-16,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR,OrR3,NA,NA,"large double-orb; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-17,ST-17,2/13/23,Liuliu Gould,specimen,x,x,,,,Ap,ApT,ApT4,2,NA,"caudal furca; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-17,ST-17,2/13/23,Liuliu Gould,specimen,,,,x,,Br,BrF,BrF,1,NA,"thin curved stem with ""woven"" texture"", probably vasc plant; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-18,ST-18,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrS,OrS1,NA,NA,"partially dehisced football sac; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-31,ST-31,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR,OrR1,NA,NA,"cluster of 4; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,NA,CLST_8,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-10,ST-10a,7/17/22,Tanner Frank,specimen,,,,x,,No,NoC,NoC1,2,NA,circles (algal nodes),1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-10,ST-10b,7/17/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,2,NA,sac pretty complete,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-11,ST-11a,7/17/22,Tanner Frank,specimen,x,x,,,,Tr,TrP,TrP1,3,NA,shrimp tergopleurae series; collected 3-23-21,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-11,ST-11b,7/17/22,Tanner Frank,specimen,x,x,,,,Tr,TrA,TrA2,2,NA,caudal abdomen and telson; collected 3-23-21,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12a,7/17/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,1,NA,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12b,7/17/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,1,NA,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12c,7/17/22,Tanner Frank,specimen,,,,,x,Or,OrS,OrS1,2,NA,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-15,ST-15a,7/18/22,Tanner Frank,specimen,x,x,,,,Ap,ApT,ApT1,3,NA,Cairocaris abdomen + telson,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-15,ST-15b,7/18/22,Tanner Frank,specimen,x,x,x,,,Va,Va1,Va1,2,NA,clam shrimp,1,x,CLST_9,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-19,ST-19,3/30/23,Shreya Jariwala,specimen,x,,,,,Ap,ApW,ApW3,2,NA,large arthropod appendage; collected Liuliu ,1,x,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-20,ST-20,3/31/23,Shreya Jariwala,specimen,x,,,,,Ap,ApW,ApW,1,NA,scrap of cuticle; collected by Liuliu,1,NA,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-21,ST-21,4/1/23,Shreya Jariwala,specimen,,,,,x,Br,BrA,BrA3,2,NA,large piece of alga(?) with bacteria--modern?; collected Liuliu,1,x,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-22,ST-22,4/2/23,Shreya Jariwala,specimen,x,,,,,Tr,Tr,Tr,1,NA,scrap of cuticle; collected by Liuliu,1,NA,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-23,ST-23a,4/3/23,Shreya Jariwala,specimen,x,x,x,,,Va,Va1,Va1,1,NA,clam shrimp with internal circles and other strange likely preservational texture; collected by Liuliu,1,x,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-23,ST-23b,4/3/23,Shreya Jariwala,specimen,,,,,x,U,U,U,NA,NA,"branching bacteria/algae, possibly modern",1,x (take more photos),CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-25,ST-25a,4/5/23,Shreya Jariwala,specimen,x,,,,,Tr,Tr,Tr,1,NA,cuticle scraps,1,NA,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-25,ST-25b,4/5/23,Shreya Jariwala,specimen,x,,,,,Tr,Tr,Tr,1,NA,cuticle scraps,1,NA,CLST-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLST_10,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
