slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle?,branchiopod_cuticle?,clamShrimp_cuticle?,plant-algal_cuticle?,other?,Morphotype,Preservation,Description/notes,no_specimens,Imaged,sample_name,Mass (g),Mesh,HF_date,Water_ date,Collection_date,acid_time,rinse_time,Inspection complete?,Notes_pre-maceration,Notes_duringmaceration,Notes_post-maceration,Notes_microscopeobservations,rock_name,base  from lower SS (cm),top from lower SS (cm),date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
ST-13,ST-13e,7/18/22,Tanner Frank,specimen,,,,x,,PhL_III,1,liverwort with strange darkened cell borders,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13f,7/18/22,Tanner Frank,specimen,,,,,x,OrS1,1,sac w dehiscence partially otherwise broken,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13g,7/18/22,Tanner Frank,specimen,,,,,x,OrS1,1,broken sac w indistinct contents,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-13,ST-13h,7/18/22,Tanner Frank,specimen,x,,,,,ApT5,2,terminal claw,1,x,CLST_L13-1,6.18,150µm,4/30/21,5/10/21,5/19/21,10,9,0,"thin layer, one side dirtier, l.w.s and ostracs",rinsed and re-added to acid 5/6,"lots of sediment clumps, small flakes","some cuticle specimens, lots of spores, decent liverworts",CLST_L13,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-30,ST-30a,4/24/23,Jamie Hernandez,specimen,,,,,x,OrR1,NA,cluster of 4+; liuliu 3/13/23,1,x,CLST_L3-1,7.3,150µm,4/16/21,4/20/21,4/28/21,4,8,0,"LOTS of ostracods, some plant texture; thin; one side darker with more ostracods",0,"lots of v small particles, kind of ""goopy""","lots of material, mostly complete liverworts, collected *clusters, cuticle, tergopleurae?",CLST_L3,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-30,ST-30b,4/24/23,Jamie Hernandez,specimen,,,,,x,OrR1,NA,orb; liuliu 3/13/23,1,x,CLST_L3-1,7.3,150µm,4/16/21,4/20/21,4/28/21,4,8,0,"LOTS of ostracods, some plant texture; thin; one side darker with more ostracods",0,"lots of v small particles, kind of ""goopy""","lots of material, mostly complete liverworts, collected *clusters, cuticle, tergopleurae?",CLST_L3,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-16,ST-16,2/13/23,Liuliu Gould,specimen,x,x,,,,ApT3,2,"caudal furca; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_L8-1,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-16,ST-16,2/13/23,Liuliu Gould,specimen,,,,,x,OrR3,NA,"large double-orb; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_L8-1,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-17,ST-17,2/13/23,Liuliu Gould,specimen,x,x,,,,ApT4,2,"caudal furca; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_L8-1,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-17,ST-17,2/13/23,Liuliu Gould,specimen,,,,x,,BrF,1,"thin curved stem with ""woven"" texture"", probably vasc plant; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_L8-1,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-18,ST-18,2/13/23,Liuliu Gould,specimen,,,,,x,OrS1,NA,"partially dehisced football sac; collected 3/7/22 (liuliu wrote ""CLST_CB-1"", I assume CB=L8)",1,x,CLST_L8-1,6.79,150µm,4/20/21,4/26/21,5/3/21,6,7,0,"thin, ostracods dense on both faces, liverworts on both faces, conchostracan ",lots of big flakes,"more material than CLST_L7-1, large flakes",0,CLST_L8,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-10,ST-10a,7/17/22,Tanner Frank,specimen,,,,x,,NoC1,2,circles (algal nodes),1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-10,ST-10b,7/17/22,Tanner Frank,specimen,,,,,x,OrS1,2,sac pretty complete,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-11,ST-11a,7/17/22,Tanner Frank,specimen,x,x,,,,TrP1,3,shrimp tergopleurae series; collected 3-23-21,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-11,ST-11b,7/17/22,Tanner Frank,specimen,x,x,,,,TrA2,2,caudal abdomen and telson; collected 3-23-21,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12a,7/17/22,Tanner Frank,specimen,,,,,x,OrS1,1,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12b,7/17/22,Tanner Frank,specimen,,,,,x,OrS1,1,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-12,ST-12c,7/17/22,Tanner Frank,specimen,,,,,x,OrS1,2,3 turbellarian egg capsules (spindle sacs); collected 3-23-21,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-15,ST-15a,7/18/22,Tanner Frank,specimen,x,x,,,,ApT1,3,Cairocaris abdomen + telson,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-15,ST-15b,7/18/22,Tanner Frank,specimen,x,x,x,,,Va1,2,clam shrimp,1,x,CLST_L9-1,3.3,150µm,3/4/21,3/11/21,3/23/21,7,12,x,"labeled ""liverwort"", this sample is just a piece of that larger chunk; fragmentary liverworts, ostracods",0,left a little longer because it was too acidic; a good number of large flakes of organic material,"decent conchostracan, bilobed spores, hexagons?, tergoplaurae, *****series of 8 tergopleurae, branching algal thing",CLST_L9,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-19,ST-19,3/30/23,Shreya Jariwala,specimen,x,,,,,ApW3,2,large arthropod appendage; collected Liuliu ,1,x,CLST-L10-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-21,ST-21,4/1/23,Shreya Jariwala,specimen,,,,,x,BrA3,2,large piece of alga(?) with bacteria--modern?; collected Liuliu,1,x,CLST-L10-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-23,ST-23a,4/3/23,Shreya Jariwala,specimen,x,x,x,,,Va1,1,clam shrimp with internal circles and other strange likely preservational texture; collected by Liuliu,1,x,CLST-L10-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-26,ST-26,4/6/23,Shreya Jariwala,specimen,,,,,x,OrR3,NA,cluster of 4 ,1,x,CLST-L10-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
ST-27,ST-27,4/7/23,Shreya Jariwala,specimen,x,,,,,ApW,1,arthropod stout appendage segment (or algae?),1,x,CLST-L10-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Susan Tremblay,block of layers,Cairo Quarry,CS_C,42.31947,-74.04779,Plattekill Fm.,"=Ms 3, noted by Susan to be productive"
CSA-27,CSA-27a,7/17/22,Tanner Frank,specimen,,,,,x,OrR1,NA,cluster of 4 orbs; from 6/1/22 observation,1,x,CSA-21-A,5.24,105µm,8/12/21,8/17/21,8/20/21,5,3,0,lots of complete liverworts,well dissolved after first day,"6/1/2022: medium flakes, dark sediment before looking in scope","decent liverwort flakes, can see cells clearly, not coalified much; *serrated cuticle edge, *bilobed spore, hyphal threads binding things but not densely (6/22/22)","6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-27,CSA-27b,7/17/22,Tanner Frank,specimen,x,,,,,ApT14,2,long appendage with some segmentation?; from 6/1/22 observation,1,x,CSA-21-A,5.24,105µm,8/12/21,8/17/21,8/20/21,5,3,0,lots of complete liverworts,well dissolved after first day,"6/1/2022: medium flakes, dark sediment before looking in scope","decent liverwort flakes, can see cells clearly, not coalified much; *serrated cuticle edge, *bilobed spore, hyphal threads binding things but not densely (6/22/22)","6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-27,CSA-27c,7/17/22,Tanner Frank,specimen,x,x,,,,ApB1,1,spiked exopod flap border; from 6/1/22 observation,1,x,CSA-21-A,5.24,105µm,8/12/21,8/17/21,8/20/21,5,3,0,lots of complete liverworts,well dissolved after first day,"6/1/2022: medium flakes, dark sediment before looking in scope","decent liverwort flakes, can see cells clearly, not coalified much; *serrated cuticle edge, *bilobed spore, hyphal threads binding things but not densely (6/22/22)","6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-46,CSA-46,4/3/23,Liuliu Gould,specimen,,,,x,,BrA5,2,"algae with corner, simple node; collected Guillermo 3/17/23",1,x,CSA-21-A,5.24,105µm,8/12/21,8/17/21,8/20/21,5,3,0,lots of complete liverworts,well dissolved after first day,"6/1/2022: medium flakes, dark sediment before looking in scope","decent liverwort flakes, can see cells clearly, not coalified much; *serrated cuticle edge, *bilobed spore, hyphal threads binding things but not densely (6/22/22)","6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-1,CSA-1,NA,NA,specimen,x,,,,,ApT9,2,"large harpoon like spike; Bill shear: appears to be a chela finger, crustacean",1,x,CSA-21-B,2.98,105µm,8/12/21,8/17/21,8/20/21,5,3,x,"liverworts, from ""concho piece III""; piece 1","well dissolved after first day, added extra acid after initial pour",0,"**anostracan abdomen; liverwort herbivory**, possible appendage**, large untextured valve*, cuticle edge*, tergopleurae*, double-spike*",6.17.21-CSA-1,NA,NA,6/17/21,NA,CSA 6-17-21 concho III; multiple fragments; liverworts,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-2,CSA-2,NA,NA,specimen,x,x,,,,ApB5,1,spiky curved border,1,x,CSA-21-B,2.98,105µm,8/12/21,8/17/21,8/20/21,5,3,x,"liverworts, from ""concho piece III""; piece 1","well dissolved after first day, added extra acid after initial pour",0,"**anostracan abdomen; liverwort herbivory**, possible appendage**, large untextured valve*, cuticle edge*, tergopleurae*, double-spike*",6.17.21-CSA-1,NA,NA,6/17/21,NA,CSA 6-17-21 concho III; multiple fragments; liverworts,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-23,CSA-23,2/18/22,Tanner Frank,specimen,x,x,,,,TrA1,3,anostracan abdomen (articulated) w final tergopleura,1,x,CSA-21-B,2.98,105µm,8/12/21,8/17/21,8/20/21,5,3,x,"liverworts, from ""concho piece III""; piece 1","well dissolved after first day, added extra acid after initial pour",0,"**anostracan abdomen; liverwort herbivory**, possible appendage**, large untextured valve*, cuticle edge*, tergopleurae*, double-spike*",6.17.21-CSA-1,NA,NA,6/17/21,NA,CSA 6-17-21 concho III; multiple fragments; liverworts,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-55,CSA-55a,2/13/23,Liuliu Gould,specimen,x,,,,,Ap,1,arthropod cuticle with small segments (or algae?),1,x,CSA-21-B,2.98,105µm,8/12/21,8/17/21,8/20/21,5,3,x,"liverworts, from ""concho piece III""; piece 1","well dissolved after first day, added extra acid after initial pour",0,"**anostracan abdomen; liverwort herbivory**, possible appendage**, large untextured valve*, cuticle edge*, tergopleurae*, double-spike*",6.17.21-CSA-1,NA,NA,6/17/21,NA,CSA 6-17-21 concho III; multiple fragments; liverworts,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-28,CSA-28,2/13/23,Liuliu Gould,specimen,x,,,,,ApT5,2,"spikey cuticle, pair of long spikes and shorter stout spikes, connected!",1,x,CSA-21-B,2.98,105µm,8/12/21,8/17/21,8/20/21,5,3,x,"liverworts, from ""concho piece III""; piece 1","well dissolved after first day, added extra acid after initial pour",0,"**anostracan abdomen; liverwort herbivory**, possible appendage**, large untextured valve*, cuticle edge*, tergopleurae*, double-spike*",6.17.21-CSA-1,NA,NA,6/17/21,NA,CSA 6-17-21 concho III; multiple fragments; liverworts,Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-32,CSA-32b,2/16/23,Shreya Jariwala,specimen,,,,,x,OrF1,1,slightly degraded disc,1,x,CSA-21-D,5.65,150µm,8/17/21,8/20/21,8/26/21,3,6,0,"lots of complete liverworts on one side, other side had possibly vascular plant texture, little bumps--plant, ostracod?","***forgot to add water to, dried out :(","medium sized flakes, cloudy",nice arthropod cuticle--terrestrial stuff!,"6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
CSA-35,CSA-35,3/4/23,Tanner Frank,specimen,,,,x,,NoC1,3,"double layers of algal nodes, splayed flat so both layers are opposite one another; collected 3/2/2023 Tanner",1,x,CSA-21-D,5.65,150µm,8/17/21,8/20/21,8/26/21,3,6,0,"lots of complete liverworts on one side, other side had possibly vascular plant texture, little bumps--plant, ostracod?","***forgot to add water to, dried out :(","medium sized flakes, cloudy",nice arthropod cuticle--terrestrial stuff!,"6.16,17.21-CSA-1",NA,NA,6/16/2021-6/17/2021,NA,"many loose fragments, complete liverworts on one side",Cairo Quarry,CS_A,42.31949,-74.04771,Plattekill Fm.,=Ms 1; detailed measurements and sampling of section 2021
